   Active: active (running) since Sun 2015-01-25 00:20:33 EST; 1min 0s ago

Waiting 60 seconds after restarting neutron-server
systemctl status neutron-server.service | grep since
  
DHCP-network-0, DHCP-subnet-0, DHCP-port-0 created with 1.0.0.0/16
Added 2nd test tap interface tapefb48593-d6 in namespace of DHCP-network-0
python dhcp_entries.py -m de:ae:00:00:00:00@1.0.0.5:8200@DHCP-network-0
Added 8200 test DHCP ports to DHCP-network-0
   Active: active (running) since Sun 2015-01-25 00:36:31 EST; 1min 0s ago

Waiting 60 seconds after restarting neutron-dhcp-agent.service...

2 processes still running. Waited 661.456026793 seconds.
2 processes still running. Waited 666.503007889 seconds.
2 processes still running. Waited 671.553870916 seconds.
2 processes still running. Waited 676.602999926 seconds.
2 processes still running. Waited 681.650838852 seconds.
2 processes still running. Waited 686.698390007 seconds.
2 processes still running. Waited 691.744669914 seconds.
2 processes still running. Waited 696.791248798 seconds.
2 processes still running. Waited 701.839609861 seconds.
2 processes still running. Waited 706.891887903 seconds.
2 processes still running. Waited 711.939986944 seconds.
2 processes still running. Waited 716.991153955 seconds.
2 processes still running. Waited 722.038011789 seconds.
2 processes still running. Waited 727.084324837 seconds.
2 processes still running. Waited 732.132891893 seconds.
2 processes still running. Waited 737.177803993 seconds.
2 processes still running. Waited 742.221236944 seconds.
2 processes still running. Waited 747.268008947 seconds.
2 processes still running. Waited 752.316726923 seconds.
2 processes still running. Waited 757.367743969 seconds.
2 processes still running. Waited 762.415428877 seconds.
2 processes still running. Waited 767.464783907 seconds.
2 processes still running. Waited 772.517314911 seconds.
2 processes still running. Waited 777.56275177 seconds.
2 processes still running. Waited 782.609478951 seconds.
2 processes still running. Waited 787.657258987 seconds.
2 processes still running. Waited 792.704033852 seconds.
2 processes still running. Waited 797.751149893 seconds.
2 processes still running. Waited 802.798782825 seconds.
2 processes still running. Waited 807.848284006 seconds.
2 processes still running. Waited 812.897328854 seconds.
2 processes still running. Waited 817.947267771 seconds.
2 processes still running. Waited 822.991599798 seconds.
2 processes still running. Waited 828.038295984 seconds.
2 processes still running. Waited 833.086509943 seconds.
2 processes still running. Waited 838.131248951 seconds.
2 processes still running. Waited 843.179847002 seconds.
2 processes still running. Waited 848.228406906 seconds.
2 processes still running. Waited 853.295063972 seconds.
2 processes still running. Waited 858.344838858 seconds.
2 processes still running. Waited 863.394090891 seconds.
2 processes still running. Waited 868.443333864 seconds.
2 processes still running. Waited 873.488126993 seconds.
2 processes still running. Waited 878.532967806 seconds.
2 processes still running. Waited 883.579685926 seconds.
2 processes still running. Waited 888.626580954 seconds.
2 processes still running. Waited 893.674856901 seconds.
2 processes still running. Waited 898.722940922 seconds.
2 processes still running. Waited 903.768392801 seconds.
2 processes still running. Waited 908.817004919 seconds.
2 processes still running. Waited 913.86075592 seconds.
2 processes still running. Waited 918.908575773 seconds.
2 processes still running. Waited 923.954688787 seconds.
2 processes still running. Waited 928.999601841 seconds.
2 processes still running. Waited 934.048266888 seconds.
2 processes still running. Waited 939.098641872 seconds.
2 processes still running. Waited 944.147053003 seconds.
2 processes still running. Waited 949.198011875 seconds.
2 processes still running. Waited 954.243177891 seconds.
2 processes still running. Waited 959.290995836 seconds.
2 processes still running. Waited 964.339007854 seconds.
2 processes still running. Waited 969.385139942 seconds.
2 processes still running. Waited 974.430150986 seconds.
2 processes still running. Waited 979.477486849 seconds.
2 processes still running. Waited 984.52953887 seconds.
2 processes still running. Waited 989.580205917 seconds.
2 processes still running. Waited 994.631225824 seconds.
2 processes still running. Waited 999.679339886 seconds.
2 processes still running. Waited 1004.72718477 seconds.
2 processes still running. Waited 1009.7759459 seconds.
2 processes still running. Waited 1014.8263669 seconds.
2 processes still running. Waited 1019.872751 seconds.
2 processes still running. Waited 1024.921175 seconds.
2 processes still running. Waited 1029.97123885 seconds.
2 processes still running. Waited 1035.01960278 seconds.
2 processes still running. Waited 1040.0695169 seconds.
2 processes still running. Waited 1045.11770082 seconds.
2 processes still running. Waited 1050.16848183 seconds.
2 processes still running. Waited 1055.21874499 seconds.
2 processes still running. Waited 1060.26630783 seconds.
2 processes still running. Waited 1065.31342483 seconds.
2 processes still running. Waited 1070.36342692 seconds.
2 processes still running. Waited 1075.41601491 seconds.
2 processes still running. Waited 1080.46354985 seconds.
2 processes still running. Waited 1085.51198792 seconds.
2 processes still running. Waited 1090.56430387 seconds.
2 processes still running. Waited 1095.61171699 seconds.
2 processes still running. Waited 1100.65820289 seconds.
2 processes still running. Waited 1105.70316887 seconds.
2 processes still running. Waited 1110.75019884 seconds.
2 processes still running. Waited 1115.79484081 seconds.
2 processes still running. Waited 1120.84340191 seconds.
2 processes still running. Waited 1125.88733482 seconds.
2 processes still running. Waited 1130.93574095 seconds.
2 processes still running. Waited 1135.98537278 seconds.
2 processes still running. Waited 1141.03880382 seconds.
2 processes still running. Waited 1146.084692 seconds.
2 processes still running. Waited 1151.1298089 seconds.
2 processes still running. Waited 1156.17731595 seconds.
2 processes still running. Waited 1161.22713399 seconds.
2 processes still running. Waited 1166.27512383 seconds.
2 processes still running. Waited 1171.32945991 seconds.
2 processes still running. Waited 1176.37610888 seconds.
2 processes still running. Waited 1181.42417884 seconds.
2 processes still running. Waited 1186.47042394 seconds.
2 processes still running. Waited 1191.52015281 seconds.
2 processes still running. Waited 1196.56847382 seconds.
 
ERROR : All the processes did not end. 2 processes still running. Waited 20 minutes. Exiting...

 Run 'ps aux | grep dhcp.py | grep -v grep'

 Run 'sudo pkill -f ./dhcp.py' to kill all processes


 Sleeping 10 seconds........


 Sleeping 10 seconds........


 Sleeping 10 seconds........

