日期,PM2.5分指数,PM10分指数,O3分指数,SO2分指数,NO2分指数,CO分指数,AQI,质量评价,首要污染物
445,2013-12-21,80,59,28,42,75,23,80,良,PM2.5
446,2013-12-20,247,140,17,77,107,47,247,重度污染,PM2.5
447,2013-12-19,132,86,29,51,83,27,132,轻度污染,PM2.5
448,2013-12-18,59,57,36,26,47,17,59,良,PM2.5
449,2013-12-17,19,14,30,16,45,13,45,优,-
450,2013-12-16,32,19,30,20,54,13,54,良,NO2
451,2013-12-15,117,78,49,40,68,20,117,轻度污染,PM2.5
452,2013-12-14,70,65,32,33,90,19,90,良,NO2
453,2013-12-13,139,97,31,52,101,30,139,轻度污染,PM2.5
454,2013-12-12,124,98,26,55,107,31,124,轻度污染,PM2.5
455,2013-12-11,134,104,25,65,101,33,134,轻度污染,PM2.5
456,2013-12-10,104,83,22,56,93,29,104,轻度污染,PM2.5
457,2013-12-09,241,128,19,48,94,45,241,重度污染,PM2.5
458,2013-12-08,163,79,46,26,90,29,163,中度污染,PM2.5
459,2013-12-07,206,95,44,32,101,38,206,重度污染,PM2.5
460,2013-12-06,465,359,12,62,125,76,465,严重污染,PM2.5
461,2013-12-05,305,167,36,36,128,54,305,严重污染,PM2.5
462,2013-12-04,163,94,53,36,113,33,163,中度污染,PM2.5
463,2013-12-03,190,109,46,47,113,36,190,中度污染,PM2.5
464,2013-12-02,294,177,20,73,123,58,294,重度污染,PM2.5
465,2013-12-01,271,168,29,69,116,53,271,重度污染,PM2.5
466,2013-11-30,129,98,32,52,104,38,129,轻度污染,PM2.5
467,2013-11-29,82,81,20,55,84,28,84,良,NO2
468,2013-11-28,68,74,23,48,70,21,74,良,PM10
469,2013-11-27,103,111,23,44,80,24,111,轻度污染,PM10
470,2013-11-26,138,178,26,47,101,36,178,中度污染,PM10
471,2013-11-25,99,155,25,44,73,26,155,中度污染,PM10
472,2013-11-24,74,53,52,20,53,26,74,良,PM2.5
473,2013-11-23,87,73,58,20,64,20,87,良,PM2.5
474,2013-11-22,87,64,47,24,72,21,87,良,PM2.5
475,2013-11-21,139,95,59,38,105,26,139,轻度污染,PM2.5
476,2013-11-20,178,120,38,57,120,35,178,中度污染,PM2.5
477,2013-11-19,119,92,25,58,102,33,119,轻度污染,PM2.5
478,2013-11-18,80,75,30,51,83,25,83,良,NO2
479,2013-11-17,100,123,34,50,73,24,123,轻度污染,PM10
480,2013-11-16,183,166,43,55,110,40,183,中度污染,PM2.5
481,2013-11-15,242,150,34,61,112,53,242,重度污染,PM2.5
482,2013-11-14,108,73,16,30,97,26,108,轻度污染,PM2.5
483,2013-11-13,33,42,37,16,60,13,60,良,NO2
484,2013-11-12,36,49,34,16,43,12,49,优,-
485,2013-11-11,55,58,39,24,47,16,58,良,PM10
486,2013-11-10,64,54,35,16,37,18,64,良,PM2.5
487,2013-11-09,92,68,52,18,67,23,92,良,PM2.5
488,2013-11-08,148,76,75,21,63,22,148,轻度污染,PM2.5
489,2013-11-07,264,153,63,55,118,45,264,重度污染,PM2.5
490,2013-11-06,168,114,55,47,112,34,168,中度污染,PM2.5
491,2013-11-05,62,65,64,18,79,21,79,良,NO2
492,2013-11-04,73,59,46,18,47,18,73,良,PM2.5
493,2013-11-03,110,68,42,16,55,24,110,轻度污染,PM2.5
494,2013-11-02,70,56,47,15,67,18,70,良,PM2.5
495,2013-11-01,43,50,52,13,50,15,52,良,O3
496,2013-10-31,50,53,55,13,37,14,55,良,O3
497,2013-10-30,57,52,60,14,50,15,60,良,O3
498,2013-10-29,59,55,49,16,70,16,70,良,NO2
499,2013-10-28,48,56,68,16,60,15,68,良,O3
500,2013-10-27,57,61,60,17,73,19,73,良,NO2
501,2013-10-26,68,63,54,23,57,18,68,良,PM2.5
502,2013-10-25,45,63,46,19,47,18,63,良,PM10
503,2013-10-24,73,73,80,21,40,21,80,良,O3
504,2013-10-23,53,52,67,17,52,17,67,良,O3
505,2013-10-22,69,61,67,20,62,21,69,良,PM2.5
506,2013-10-21,77,66,58,23,49,22,77,良,PM2.5
507,2013-10-20,62,59,64,18,40,19,64,良,O3
508,2013-10-19,30,43,43,16,55,14,55,良,NO2
509,2013-10-18,25,40,39,16,64,15,64,良,NO2
510,2013-10-17,32,47,31,20,63,16,63,良,NO2
511,2013-10-16,32,53,36,20,48,14,53,良,PM10
512,2013-10-15,28,51,40,15,32,13,51,良,PM10
513,2013-10-14,33,54,54,15,42,13,54,良,PM10
514,2013-10-13,29,45,70,16,45,14,70,良,O3
515,2013-10-12,28,52,63,18,57,14,63,良,O3
516,2013-10-11,135,111,94,34,89,28,135,轻度污染,PM2.5
517,2013-10-10,77,62,66,20,80,22,80,良,NO2
518,2013-10-09,52,55,41,16,48,18,55,良,PM10
519,2013-10-08,12,15,34,11,28,14,34,优,-
520,2013-10-07,15,21,36,11,17,12,36,优,-
521,2013-10-06,23,38,48,12,20,12,48,优,-
522,2013-10-05,38,52,52,14,37,15,52,良,PM10
523,2013-10-04,23,39,70,15,32,12,70,良,O3
524,2013-10-03,16,35,51,13,28,10,51,良,O3
525,2013-10-02,79,68,80,20,40,18,80,良,O3
526,2013-10-01,48,52,74,15,43,17,74,良,O3
527,2013-09-30,33,39,60,15,47,15,60,良,O3
528,2013-09-29,99,64,61,39,77,30,99,良,PM2.5
529,2013-09-28,70,62,47,24,78,21,78,良,NO2
530,2013-09-27,25,47,70,15,54,13,70,良,O3
531,2013-09-26,30,49,55,21,50,13,55,良,O3
532,2013-09-25,18,33,44,13,29,12,44,优,-
533,2013-09-24,39,48,46,15,35,14,48,优,-
534,2013-09-23,19,34,36,10,23,13,36,优,-
535,2013-09-22,30,40,41,11,24,14,41,优,-
536,2013-09-21,30,40,46,12,27,14,46,优,-
537,2013-09-20,30,45,48,12,25,14,48,优,-
538,2013-09-19,29,50,56,13,29,14,56,良,O3
539,2013-09-18,23,40,65,12,30,13,65,良,O3
540,2013-09-17,22,40,69,12,38,13,69,良,O3
541,2013-09-16,52,53,66,15,47,17,66,良,O3
542,2013-09-15,52,42,67,14,34,16,67,良,O3
543,2013-09-14,57,51,107,19,60,18,107,轻度污染,O3
544,2013-09-13,54,54,82,17,67,21,82,良,O3
545,2013-09-12,35,33,52,12,35,16,52,良,O3
546,2013-09-11,60,51,70,16,59,19,70,良,O3
547,2013-09-10,63,57,119,17,49,18,119,轻度污染,O3
548,2013-09-09,52,50,93,14,38,15,93,良,O3
549,2013-09-08,33,36,50,12,42,15,50,优,-
550,2013-09-07,55,52,44,15,64,20,64,良,NO2
551,2013-09-06,28,28,34,12,57,16,57,良,NO2
552,2013-09-05,32,40,45,12,44,14,45,优,-
553,2013-09-04,22,34,60,12,33,12,60,良,O3
554,2013-09-03,38,51,91,15,29,15,91,良,O3
555,2013-09-02,25,39,66,12,32,15,66,良,O3
556,2013-09-01,22,36,61,12,32,14,61,良,O3
557,2013-08-31,26,39,63,13,29,14,63,良,O3
558,2013-08-30,82,64,92,15,40,25,92,良,O3
559,2013-08-29,48,53,116,16,59,18,116,轻度污染,O3
560,2013-08-28,45,47,94,13,35,16,94,良,O3
561,2013-08-27,46,51,71,12,35,19,71,良,O3
562,2013-08-26,43,47,60,14,50,20,60,良,O3
563,2013-08-25,69,54,73,20,50,26,73,良,O3
564,2013-08-24,43,52,104,14,35,16,104,轻度污染,O3
565,2013-08-23,26,45,49,9,22,14,49,优,-
566,2013-08-22,20,49,28,8,17,13,49,优,-
567,2013-08-21,23,39,30,10,20,15,39,优,-
568,2013-08-20,20,30,22,10,19,14,30,优,-
569,2013-08-19,15,21,21,9,20,15,21,优,-
570,2013-08-18,38,40,25,11,24,15,40,优,-
571,2013-08-17,35,38,48,12,24,14,48,优,-
572,2013-08-16,20,31,60,10,24,14,60,良,O3
573,2013-08-15,23,34,58,12,28,14,58,良,O3
574,2013-08-14,20,31,43,12,24,13,43,优,-
575,2013-08-13,23,33,43,13,27,12,43,优,-
576,2013-08-12,28,36,70,14,30,13,70,良,O3
577,2013-08-11,77,65,179,18,43,18,179,中度污染,O3
578,2013-08-10,74,70,157,19,48,19,157,中度污染,O3
579,2013-08-09,104,82,201,27,62,22,201,重度污染,O3
580,2013-08-08,88,74,185,23,52,19,185,中度污染,O3
581,2013-08-07,99,80,207,28,57,23,207,重度污染,O3
582,2013-08-06,75,67,153,22,54,20,153,中度污染,O3
583,2013-08-05,67,59,139,14,47,19,139,轻度污染,O3
584,2013-08-04,45,51,93,17,45,17,93,良,O3
585,2013-08-03,39,38,79,14,38,16,79,良,O3
586,2013-08-02,35,45,41,14,40,15,45,优,-
587,2013-08-01,58,57,102,16,62,18,102,轻度污染,O3
588,2013-07-31,68,64,160,24,52,17,160,中度污染,O3
589,2013-07-30,72,61,123,20,49,16,123,轻度污染,O3
590,2013-07-29,75,69,142,20,52,19,142,轻度污染,O3
591,2013-07-28,69,57,103,17,45,17,103,轻度污染,O3
592,2013-07-27,128,94,185,23,68,25,185,中度污染,O3
593,2013-07-26,107,83,178,21,79,22,178,中度污染,O3
594,2013-07-25,90,76,149,20,59,18,149,轻度污染,O3
595,2013-07-24,65,62,121,16,49,16,121,轻度污染,O3
596,2013-07-23,52,54,111,15,43,15,111,轻度污染,O3
597,2013-07-22,46,52,94,13,38,15,94,良,O3
598,2013-07-21,57,56,101,12,42,17,101,轻度污染,O3
599,2013-07-20,50,58,120,13,47,17,120,轻度污染,O3
600,2013-07-19,25,44,50,11,28,12,50,优,-
601,2013-07-18,23,43,48,11,28,12,48,优,-
602,2013-07-17,38,44,85,13,34,13,85,良,O3
603,2013-07-16,38,50,87,12,33,13,87,良,O3
604,2013-07-15,28,44,55,10,24,12,55,良,O3
605,2013-07-14,25,48,37,7,13,10,48,优,-
606,2013-07-13,23,48,23,6,12,10,48,优,-
607,2013-07-12,32,42,38,10,20,11,42,优,-
608,2013-07-11,55,58,175,17,45,14,175,中度污染,O3
609,2013-07-10,60,61,150,20,53,16,150,轻度污染,O3
610,2013-07-09,60,60,144,18,44,16,144,轻度污染,O3
611,2013-07-08,58,61,120,18,48,16,120,轻度污染,O3
612,2013-07-07,63,61,95,16,47,18,95,良,O3
613,2013-07-06,65,53,59,10,58,20,65,良,PM2.5
614,2013-07-05,58,57,45,22,53,19,58,良,PM2.5
615,2013-07-04,70,66,119,27,50,17,119,轻度污染,O3
616,2013-07-03,70,63,90,24,54,18,90,良,O3
617,2013-07-02,84,60,121,16,53,19,121,轻度污染,O3
618,2013-07-01,119,79,126,16,60,22,126,轻度污染,O3
619,2013-06-30,89,59,100,16,43,17,100,良,O3
620,2013-06-29,46,36,44,8,39,15,46,优,-
621,2013-06-28,29,28,49,7,35,14,49,优,-
622,2013-06-27,29,18,47,6,40,15,47,优,-
623,2013-06-26,36,29,47,7,40,16,47,优,-
624,2013-06-25,62,40,36,9,45,16,62,良,PM2.5
625,2013-06-24,84,56,37,10,55,22,84,良,PM2.5
626,2013-06-23,104,70,82,15,47,18,104,轻度污染,PM2.5
627,2013-06-22,85,57,81,11,34,15,85,良,PM2.5
628,2013-06-21,65,52,65,11,43,16,65,良,PM2.5
629,2013-06-20,92,52,44,12,48,16,92,良,PM2.5
630,2013-06-19,129,80,64,23,73,24,129,轻度污染,PM2.5
631,2013-06-18,102,78,107,21,67,23,107,轻度污染,O3
632,2013-06-17,109,72,128,19,63,23,128,轻度污染,O3
633,2013-06-16,74,55,64,12,45,18,74,良,PM2.5
634,2013-06-15,42,26,24,10,43,16,43,优,-
635,2013-06-14,52,32,50,10,44,20,52,良,PM2.5
636,2013-06-13,90,50,45,14,53,21,90,良,PM2.5
637,2013-06-12,158,75,53,22,59,27,158,中度污染,PM2.5
638,2013-06-11,163,93,68,23,72,26,163,中度污染,PM2.5
639,2013-06-10,48,39,54,11,35,17,54,良,O3
640,2013-06-09,60,44,34,13,47,22,60,良,PM2.5
641,2013-06-08,48,31,43,12,47,19,48,优,-
642,2013-06-07,23,18,44,8,22,15,44,优,-
643,2013-06-06,32,33,43,9,24,15,43,优,-
644,2013-06-05,39,37,39,10,28,15,39,优,-
645,2013-06-04,46,41,58,10,28,16,58,良,O3
646,2013-06-03,82,59,100,13,47,19,100,良,O3
647,2013-06-02,53,50,65,14,50,17,65,良,O3
648,2013-06-01,117,62,42,19,73,30,117,轻度污染,PM2.5
649,2013-05-31,57,41,45,9,55,20,57,良,PM2.5
650,2013-05-30,53,39,52,13,47,16,53,良,PM2.5
651,2013-05-29,137,77,120,22,65,27,137,轻度污染,PM2.5
652,2013-05-28,85,66,87,16,55,22,87,良,O3
653,2013-05-27,49,38,35,11,49,22,49,优,-
654,2013-05-26,55,56,47,9,19,15,56,良,PM10
655,2013-05-25,50,53,70,11,33,15,70,良,O3
656,2013-05-24,79,59,57,10,35,19,79,良,PM2.5
657,2013-05-23,58,47,46,9,35,21,58,良,PM2.5
658,2013-05-22,75,54,64,10,32,21,75,良,PM2.5
659,2013-05-21,122,89,111,23,75,27,122,轻度污染,PM2.5
660,2013-05-20,152,98,149,34,103,32,152,中度污染,PM2.5
661,2013-05-19,123,75,110,26,58,29,123,轻度污染,PM2.5
662,2013-05-18,68,50,39,10,63,25,68,良,PM2.5
663,2013-05-17,40,36,49,8,38,19,49,优,-
664,2013-05-16,26,23,39,8,33,17,39,优,-
665,2013-05-15,39,27,33,8,34,16,39,优,-
666,2013-05-14,57,49,78,11,37,17,78,良,O3
667,2013-05-13,83,67,96,16,48,18,96,良,O3
668,2013-05-12,142,82,114,23,58,23,142,轻度污染,PM2.5
669,2013-05-11,201,100,117,28,83,35,201,重度污染,PM2.5
670,2013-05-10,162,86,55,29,75,37,162,中度污染,PM2.5
671,2013-05-09,69,50,37,12,63,22,69,良,PM2.5
672,2013-05-08,53,42,59,13,39,16,59,良,O3
673,2013-05-07,67,49,78,12,40,17,78,良,O3
674,2013-05-06,70,49,65,12,49,18,70,良,PM2.5
675,2013-05-05,65,53,86,12,35,16,86,良,O3
676,2013-05-04,58,50,62,14,45,16,62,良,O3
677,2013-05-03,57,52,77,13,43,16,77,良,O3
678,2013-05-02,53,43,71,13,45,17,71,良,O3
679,2013-05-01,53,59,72,22,60,18,72,良,O3
680,2013-04-30,53,48,59,15,63,18,63,良,NO2
681,2013-04-29,113,68,78,23,60,22,113,轻度污染,PM2.5
682,2013-04-28,54,53,73,18,49,16,73,良,O3
683,2013-04-27,62,67,95,24,68,17,95,良,O3
684,2013-04-26,80,72,85,25,94,21,94,良,NO2
685,2013-04-25,143,87,92,39,84,29,143,轻度污染,PM2.5
686,2013-04-24,127,67,39,25,79,29,127,轻度污染,PM2.5
687,2013-04-23,119,69,55,20,80,33,119,轻度污染,PM2.5
688,2013-04-22,65,55,76,12,40,21,76,良,O3
689,2013-04-21,77,58,73,17,45,22,77,良,PM2.5
690,2013-04-20,36,28,45,10,43,19,45,优,-
691,2013-04-19,39,52,57,13,38,16,57,良,O3
692,2013-04-18,97,66,60,15,57,22,97,良,PM2.5
693,2013-04-17,128,95,45,26,92,30,128,轻度污染,PM2.5
694,2013-04-16,79,83,62,34,93,23,93,良,NO2
695,2013-04-15,127,95,142,29,73,24,142,轻度污染,O3
696,2013-04-14,84,83,73,36,59,21,84,良,PM2.5
697,2013-04-13,119,86,95,33,72,23,119,轻度污染,PM2.5
698,2013-04-12,123,95,59,45,85,28,123,轻度污染,PM2.5
699,2013-04-11,107,97,47,45,84,27,107,轻度污染,PM2.5
700,2013-04-10,70,94,54,28,65,21,94,良,PM10
701,2013-04-09,78,91,52,28,63,23,91,良,PM10
702,2013-04-08,97,74,83,28,83,25,97,良,PM2.5
703,2013-04-07,85,69,63,35,68,25,85,良,PM2.5
704,2013-04-06,55,51,49,17,39,20,55,良,PM2.5
705,2013-04-05,35,19,50,10,45,21,50,优,-
706,2013-04-04,45,38,48,10,33,18,48,优,-
707,2013-04-03,54,53,49,15,62,19,62,良,NO2
708,2013-04-02,89,68,60,24,60,27,89,良,PM2.5
709,2013-04-01,74,64,57,18,64,21,74,良,PM2.5
710,2013-03-31,49,50,61,13,39,16,61,良,O3
711,2013-03-30,38,51,50,14,53,16,53,良,NO2
712,2013-03-29,55,52,47,16,52,17,55,良,PM2.5
713,2013-03-28,98,59,55,23,75,22,98,良,PM2.5
714,2013-03-27,74,57,33,19,77,21,77,良,NO2
715,2013-03-26,26,33,44,11,43,16,44,优,-
716,2013-03-25,48,44,48,15,39,17,48,优,-
717,2013-03-24,89,59,43,12,47,21,89,良,PM2.5
718,2013-03-23,83,64,51,13,50,20,83,良,PM2.5
719,2013-03-22,99,64,47,23,70,26,99,良,PM2.5
720,2013-03-21,35,47,48,15,44,14,48,优,-
721,2013-03-20,83,60,46,16,49,23,83,良,PM2.5
722,2013-03-19,114,74,64,26,83,31,114,轻度污染,PM2.5
723,2013-03-18,105,78,50,29,95,34,105,轻度污染,PM2.5
724,2013-03-17,77,48,37,14,68,24,77,良,PM2.5
725,2013-03-16,65,55,38,17,64,18,65,良,PM2.5
726,2013-03-15,53,53,49,13,54,16,54,良,NO2
727,2013-03-14,36,47,45,14,42,14,47,优,-
728,2013-03-13,62,50,42,14,48,23,62,良,PM2.5
729,2013-03-12,64,66,48,18,68,21,68,良,NO2
730,2013-03-11,30,43,43,13,57,18,57,良,NO2
731,2013-03-10,62,86,59,12,30,18,86,良,PM10
732,2013-03-09,159,115,141,41,103,32,159,中度污染,PM2.5
733,2013-03-08,207,134,74,47,115,42,207,重度污染,PM2.5
734,2013-03-07,211,104,57,54,107,35,211,重度污染,PM2.5
735,2013-03-06,110,107,88,31,94,23,110,轻度污染,PM2.5
736,2013-03-05,196,134,58,45,104,32,196,中度污染,PM2.5
737,2013-03-04,160,117,45,54,109,32,160,中度污染,PM2.5
738,2013-03-03,87,71,41,35,88,23,88,良,NO2
739,2013-03-02,29,52,45,13,33,12,52,良,PM10
740,2013-03-01,67,60,42,14,44,20,67,良,PM2.5
741,2013-02-28,75,61,56,17,59,18,75,良,PM2.5
742,2013-02-27,50,41,42,13,55,17,55,良,NO2
743,2013-02-26,50,28,32,11,62,22,62,良,NO2
744,2013-02-25,42,21,45,9,48,17,48,优,-
745,2013-02-24,108,67,55,19,42,20,108,轻度污染,PM2.5
746,2013-02-23,207,107,56,38,101,35,207,重度污染,PM2.5
747,2013-02-22,115,75,46,26,95,26,115,轻度污染,PM2.5
748,2013-02-21,82,67,60,22,43,20,82,良,PM2.5
749,2013-02-20,70,63,60,21,60,24,70,良,PM2.5
750,2013-02-19,26,28,41,12,40,16,41,优,-
751,2013-02-18,58,35,39,12,43,18,58,良,PM2.5
752,2013-02-17,62,57,50,15,63,21,63,良,NO2
753,2013-02-16,62,57,57,16,35,17,62,良,PM2.5
754,2013-02-15,90,64,47,17,37,21,90,良,PM2.5
755,2013-02-14,99,56,40,17,42,20,99,良,PM2.5
756,2013-02-13,119,76,55,25,30,22,119,轻度污染,PM2.5
757,2013-02-12,57,49,44,16,38,16,57,良,PM2.5
758,2013-02-11,70,55,49,16,30,15,70,良,PM2.5
759,2013-02-10,233,84,46,46,47,20,233,重度污染,PM2.5
760,2013-02-09,69,57,36,18,38,15,69,良,PM2.5
761,2013-02-08,30,29,38,10,30,13,38,优,-
762,2013-02-07,70,56,33,27,38,18,70,良,PM2.5
763,2013-02-06,74,55,29,19,57,21,74,良,PM2.5
764,2013-02-05,46,32,33,10,53,18,53,良,NO2
765,2013-02-04,82,56,30,22,55,23,82,良,PM2.5
766,2013-02-03,33,37,40,13,44,15,44,优,-
767,2013-02-02,73,58,37,18,48,27,73,良,PM2.5
768,2013-02-01,107,63,27,22,82,33,107,轻度污染,PM2.5
769,2013-01-31,54,45,41,15,57,16,57,良,NO2
770,2013-01-30,234,115,60,44,113,57,234,重度污染,PM2.5
771,2013-01-29,132,80,38,35,104,38,132,轻度污染,PM2.5
772,2013-01-28,62,48,43,23,70,18,70,良,NO2
773,2013-01-27,52,28,34,21,68,17,68,良,NO2
774,2013-01-26,192,93,35,51,103,38,192,中度污染,PM2.5
775,2013-01-25,222,108,27,49,105,44,222,重度污染,PM2.5
776,2013-01-24,251,135,14,57,107,53,251,重度污染,PM2.5
777,2013-01-23,205,108,19,52,100,47,205,重度污染,PM2.5
778,2013-01-22,142,80,17,28,73,35,142,轻度污染,PM2.5
779,2013-01-21,144,73,7,32,79,44,144,轻度污染,PM2.5
780,2013-01-20,54,45,28,15,78,19,78,良,NO2
781,2013-01-19,107,65,37,25,83,23,107,轻度污染,PM2.5
782,2013-01-18,133,84,32,42,99,30,133,轻度污染,PM2.5
783,2013-01-17,73,57,36,23,45,21,73,良,PM2.5
784,2013-01-16,237,121,26,46,85,38,237,重度污染,PM2.5
785,2013-01-15,138,85,41,25,94,29,138,轻度污染,PM2.5
786,2013-01-14,169,90,41,31,90,34,169,中度污染,PM2.5
787,2013-01-13,78,43,33,16,82,19,82,良,NO2
788,2013-01-12,214,116,20,63,114,39,214,重度污染,PM2.5
789,2013-01-11,65,55,32,20,93,23,93,良,NO2
790,2013-01-10,70,59,28,33,78,19,78,良,NO2
791,2013-01-09,124,79,28,52,67,29,124,轻度污染,PM2.5
792,2013-01-08,137,75,29,48,85,29,137,轻度污染,PM2.5
793,2013-01-07,170,87,11,51,95,34,170,中度污染,PM2.5
794,2013-01-06,100,66,32,37,75,25,100,良,PM2.5
795,2013-01-05,59,41,24,20,62,20,62,良,NO2
796,2013-01-04,59,49,25,22,62,21,62,良,NO2
797,2013-01-03,53,48,35,25,47,17,53,良,PM2.5
798,2013-01-02,70,76,36,26,55,20,76,良,PM10
799,2013-01-01,105,86,25,48,100,30,105,轻度污染,PM2.5
