日期,PM2.5分指数,PM10分指数,O3分指数,SO2分指数,NO2分指数,CO分指数,AQI,质量评价,首要污染物
100,2014-12-01,70,86,30,25,45,22,86,良,PM10
101,2014-11-30,55,37,24,13,50,29,55,良,PM2.5
102,2014-11-29,58,49,33,13,59,23,59,良,NO2
103,2014-11-28,82,58,21,16,64,30,82,良,PM2.5
104,2014-11-27,30,46,42,11,63,15,63,良,NO2
105,2014-11-26,60,61,33,17,74,20,74,良,NO2
106,2014-11-25,39,50,36,12,48,15,50,优,-
107,2014-11-24,40,31,30,11,52,15,52,良,NO2
108,2014-11-23,50,38,35,11,53,13,53,良,NO2
109,2014-11-22,94,62,24,16,90,22,94,良,PM2.5
110,2014-11-21,53,53,44,13,70,16,70,良,NO2
111,2014-11-20,45,50,45,12,69,14,69,良,NO2
112,2014-11-19,49,44,45,14,73,15,73,良,NO2
113,2014-11-18,82,62,48,22,70,21,82,良,PM2.5
114,2014-11-17,153,88,49,29,64,25,153,中度污染,PM2.5
115,2014-11-16,90,60,27,14,73,21,90,良,PM2.5
116,2014-11-15,52,57,48,14,69,17,69,良,NO2
117,2014-11-14,64,68,42,25,102,21,102,轻度污染,NO2
118,2014-11-13,43,62,37,21,64,16,64,良,NO2
119,2014-11-12,172,103,35,35,82,33,172,中度污染,PM2.5
120,2014-11-11,79,68,45,21,98,20,98,良,NO2
121,2014-11-10,83,62,55,20,52,21,83,良,PM2.5
122,2014-11-09,52,51,52,17,40,17,52,良,PM2.5
123,2014-11-08,35,37,34,12,47,14,47,优,-
124,2014-11-07,55,51,48,14,42,15,55,良,PM2.5
125,2014-11-06,175,103,88,26,83,29,175,中度污染,PM2.5
126,2014-11-05,48,53,64,13,69,16,69,良,NO2
127,2014-11-04,55,58,57,15,84,20,84,良,NO2
128,2014-11-03,46,58,46,21,63,18,63,良,NO2
129,2014-11-02,78,60,45,19,52,21,78,良,PM2.5
130,2014-11-01,93,60,15,19,69,29,93,良,PM2.5
131,2014-10-31,78,52,19,14,94,32,94,良,NO2
132,2014-10-30,67,57,25,10,80,22,80,良,NO2
133,2014-10-29,36,53,36,9,72,16,72,良,NO2
134,2014-10-28,28,53,52,9,42,14,53,良,PM10
